filename	date	time	dt_iso	preview
2024-11-20__993__не_знаю_откуда_здесь_столько_людей_появилось.md	2024-11-20	11:13	2024-11-20T11:13:02+08:00	Я не знаю, откуда у меня здесь столько людей появилось 🫣 если вы еще не подписаны на мой инст - welcome, я там показываю вытяжку которая выползает из кухонно…
2024-11-20__994__так_пробую_отдать_вам_следующую_часть_истории.md	2024-11-20	14:48	2024-11-20T14:48:20+08:00	Так, пробую отдать вам следующую часть истории. И она точно начинается на Куприянове. Немного контекста: это интегральная групповая терапия с обучающим фрейм…
2024-11-20__995__всегда_ставлю_любовь_выше_всего_божественный_огонь.md	2024-11-20	14:48	2024-11-20T14:48:21+08:00	Я всегда ставлю любовь выше всего, как божественный огонь, который сошел с неба - для него найдется и храм и часовня или его можно будет нести в ладошке. Она…
2024-11-20__996__все_формы_тантрических_зашкваров_понимаю_делается_опытный.md	2024-11-20	14:48	2024-11-20T14:48:21+08:00	Все формы тантрических зашкваров… Я понимаю, что и как делается, я опытный тантрик, я могу разтождествить чувства и объект, я ношу с собой всю коробочку любв…
2024-11-21__998__следующая_часть_более_сенситив_ее_было_уязвимо.md	2024-11-21	15:30	2024-11-21T15:30:31+08:00	Следующая часть еще более сенситив. Ее было очень уязвимо приносить на группу, 25 нашим друзьям и знакомым. Ее было уязвимо обсуждать самим. Почему-то кризис…
2024-11-21__999__волновалась_не_знала_чувствовать_понимала_насколько_важно.md	2024-11-21	15:30	2024-11-21T15:30:32+08:00	Я волновалась, я не знала, что я буду чувствовать, но понимала, насколько это важно для нашего контакта.  Когда мы встретились с его сыном, я сразу почувство…
2024-11-21__1000__только_пришло_решение_сразу_его_озвучила_диме.md	2024-11-21	15:30	2024-11-21T15:30:32+08:00	Как только мне пришло это решение - я сразу его озвучила Диме, я не ждала и не носила это в себе. Принесла на стол, чтобы мы могли дальше проживать это в кон…
2024-11-24__1012__качаюсь_волнах_джетлага_вспоминаю_свой_португальский_трип.md	2024-11-24	20:50	2024-11-24T20:50:58+08:00	Качаюсь на волнах джетлага и вспоминаю свой португальский трип. Я рассказала о сложных моментах и переживаниях, и так мало рассказала о хорошем. А ведь там б…
2024-11-24__1013__секси_говорит_португальском_его_идеальный_английский_его.md	2024-11-24	20:50	2024-11-24T20:50:58+08:00	И то, как он секси говорит на португальском, и его идеальный английский, и его юмор, и его игривость, и такая взрослая мудрая душа, и то, какой он отец и как…
2024-11-25__1014__хах_чем_занимаюсь_вместо_того_рассказать_вам.md	2024-11-25	23:10	2024-11-25T23:10:26+08:00	Хах 😆 чем я занимаюсь вместо того, чтобы рассказать вам, как прошел мой день
2024-11-26__1017__грущу.md	2024-11-26	22:26	2024-11-26T22:26:52+08:00	Грущу.
2024-11-28__1018__пока_немножко_прибитом_состоянии_пытаюсь_наполнять_свои.md	2024-11-28	14:51	2024-11-28T14:51:38+08:00	Пока я немножко в прибитом состоянии, и просто пытаюсь наполнять свои дни временем с детьми, друзьями, спортивными активностями и любовью к себе. Но все равн…
2024-11-29__1029__так_день_почти_прошел.md	2024-11-29	22:44	2024-11-29T22:44:57+08:00	Так, ну что. день у меня почти прошел.  Мы были на шоу талантов в школе, я запостила с него всякие видео в инсте. Рома был финалистом, при этом скрывал от на…
2024-12-01__1039__итак_завтра_стартует_зимняя_сезонная_программа_sekta.md	2024-12-01	16:32	2024-12-01T16:32:10+08:00	Итак, завтра стартует зимняя сезонная программа в Sekta, называется она Soft/Super power. 3 недели. Чистый онлайн. Тренировки - каждый день, но можно делать …
