filename	date	time	dt_iso	preview
2024-07-17__3__доброе_утречко_новый_тг_канал_который_хочу.md	2024-07-17	16:13	2024-07-17T16:13:52+08:00	Доброе утречко. Ну что мой новый тг канал, который я хочу вести на изи, и не пытаться соответствовать сложному формату.  Сегодня осталась поспать подольше, о…
2024-07-17__5__придумала_мечту_двигалась_ней_шаг_шагом_среди.md	2024-07-17	22:54	2024-07-17T22:54:34+08:00	Я придумала мечту и просто двигалась к ней шаг за шагом, среди своих дел и забот и работ и семьи, мне просто хотелось сделать что-то для себя и других, прост…
2024-07-18__15__сегодня.md	2024-07-18	04:16	2024-07-18T04:16:46+08:00	Сегодня я  1. Выспалась  2.Сходила в лес и искупалась в реке  3. С Димой и Сашей Адам у нас был крутой звонок-мастермайнд про IFS психологию продаж, который …
2024-07-19__33__день_троечку_эмоционально.md	2024-07-19	04:25	2024-07-19T04:25:21+08:00	День на троечку эмоционально.  Затянувшийся ПМС влияет и на то как я выгляжу, и на то как я себя чувствую, и на настроение. Еще с подросткового возраста имен…
2024-07-20__40__день_разделился_две_половины.md	2024-07-20	04:46	2024-07-20T04:46:52+08:00	День разделился на две половины  В первой я была домохозяйкой: прибиралась в доме, мыла все с чистящими средствами, готовила  сделала тренировку superhuman  …
2024-07-20__42__привет_этих_фото_валя_смм_setkamama_между.md	2024-07-20	22:20	2024-07-20T22:20:44+08:00	Привет! 👋 На этих фото я, Валя, СММ #setkamama. Между этим «до/после» разница в 20 килограмм, которые мне удалось сбросить с помощью нашего курса для мам. Во…
2024-07-20__43__команда_самые_лучшие_амбассадоры_или_когда_smm.md	2024-07-20	22:21	2024-07-20T22:21:14+08:00	🔼 Команда - самые лучшие амбассадоры) Или когда ты smm и тебе надо показать классный результат, и ты показываешь СВОЙ результат))  Ps. Телеграм канал для мам…
2024-07-21__54__едем_поляны_домой_силы_более_чем_нуле.md	2024-07-21	03:47	2024-07-21T03:47:32+08:00	Едем из поляны домой, силы более чем на нуле, но день был впечетляющий.  Мы поднялись на бзерпенский карниз и сделали там супер пикник с живой музыкой. Хотел…
2024-07-22__55__сегодня_не_происходило_ничего_кроме_нашего_vahue.md	2024-07-22	04:10	2024-07-22T04:10:31+08:00	Сегодня не происходило ничего кроме нашего Vahue ретрита, поэтому дневничок оттуда  хорошо выспалась, утром начали с практик, а потом поехали на Белые Скалы …
2024-07-22__56__весь_прошлый_год_димой_учились_разных_программах.md	2024-07-22	17:22	2024-07-22T17:22:32+08:00	Весь прошлый год мы с Димой учились на разных программах и проходили разные опыты, прежде всего, чтобы круче вести наши мероприятия.  IFS (internal family sy…
2024-07-22__57__ista_другие_тренинги_которых_себя_между_делом.md	2024-07-22	17:22	2024-07-22T17:22:32+08:00	ISTA и другие тренинги, на которых мы были для себя и между делом:  мне очень нравится, когда можно давать интенсивные практики, создавая безопасные варианты…
2024-07-23__70__дневничок.md	2024-07-23	02:45	2024-07-23T02:45:35+08:00	Дневничок:  Ночью проснулась в 3 и не могла уснуть. Гуляла между двумя домами, то там поваляюсь, то тут. В итоге доспала еще пару часов и снова вскочила так,…
2024-07-24__71__вместо_дневника.md	2024-07-24	04:46	2024-07-24T04:46:32+08:00	Вместо дневника)
2024-07-25__74__иногда_конце_дня_хочется_орать_ведро_вчера.md	2024-07-25	03:41	2024-07-25T03:41:35+08:00	Иногда в конце дня хочется орать в ведро. Вчера и сегодня утром были гости, и часть меня оч хотела расслабленно тусить, но у всей остальной меня было 100500 …
2024-07-25__80__друзья_поснимали_видео_нашей_стройки_бали_awwww.md	2024-07-25	20:53	2024-07-25T20:53:45+08:00	Друзья поснимали видео с нашей стройки на Бали 😄😄😄 awwww люблю стройку и хочу следить за ней каждый деееень
2024-07-26__90__не_могу_не_написать_вчерашний_день_мирона.md	2024-07-26	22:46	2024-07-26T22:46:33+08:00	Не могу не написать про вчерашний день. У Мирона был день рождения и вечером он плакал. Он сказал: «я пошёл в душ, написал на запотевшем стекле «с днем рожде…
2024-07-27__92__когда_создавала_этот_канал_думала_нем_хай.md	2024-07-27	03:52	2024-07-27T03:52:11+08:00	Когда я создавала этот канал думала буду в нем на хай энерджи нести в мир праздник и фестиваль улыбок и счастья  в итоге мой телеграмм это сразу все мемы про…
2024-07-28__93__день_день.md	2024-07-28	03:20	2024-07-28T03:20:59+08:00	Что за день что за день  Я поспала 9 с половиной часов, почти как в песне Монеточки. Наслаждалась домом, порядком в нем и всячески позволяла себе лениться, з…
2024-07-28__103__немного_фоток_сегодняшних_вайба.md	2024-07-28	03:51	2024-07-28T03:51:41+08:00	Немного фоток сегодняшних для вайба
