filename	date	time	dt_iso	preview
2019-06-24__4__захотелось_что-то_делать_делай_думать_будешь_потом.md	2019-06-24	20:32	2019-06-24T20:32:45+08:00	Захотелось что-то делать - делай, думать будешь потом. А то начинают такие: «ой, у меня не получится, ой да никому это не нужно». Пофигу. Берёшь и просто дел…
2019-06-24__5__когда_думаешь_концерт_одной_колонкой_делать_может.md	2019-06-24	23:00	2019-06-24T23:00:14+08:00	Когда думаешь: а что концерт с одной колонкой делать, может ебануть с генератором, барабанами, клавишами и басом и с трубой, почему нет, а может ещё техника …
2019-06-25__7__бхима_сегодня_приходил_пример_человека_который_все.md	2019-06-25	02:57	2019-06-25T02:57:51+08:00	Ко мне тут Бхима сегодня приходил, пример человека который все передрачивает, кстати. Мало кто знает, что он записал альбом и так его и не выпустил.  Я вообщ…
2019-06-25__8__человеком_который_не_умеет_отпускать_свое_творчество.md	2019-06-25	02:57	2019-06-25T02:57:53+08:00	Но с человеком который не умеет отпускать свое творчество очень сложно работать, поэтому с Бхимой мы всегда сремся на каком-то этапе. Но потом всегда миримся…
2019-06-25__9__проснулись_сегодня_7_утра_считайте_выспались_проводили.md	2019-06-25	16:07	2019-06-25T16:07:45+08:00	Проснулись мы сегодня в 7 утра (считайте, выспались). Проводили детей на самолёт в глухую сибирскую деревню - две недели без старших, а это значит практическ…
2019-06-27__11__много_мыслей_после_этого_концерта_что-то_такое.md	2019-06-27	05:49	2019-06-27T05:49:47+08:00	Много мыслей у меня после этого концерта. Что-то такое, после чего по идее надо возвращаться в съемную однушку с ржавой ванной, умывать лицо водой, сидя в не…
2019-06-27__12__женя_говорит_тебя_ревную_приезжаешь_питер_этот.md	2019-06-27	22:17	2019-06-27T22:17:40+08:00	Женя говорит: «я тебя ревную, приезжаешь в Питер и в этот раз вся в группе. Понятно там, репетиции к концертам летним, но все-таки и в офис хочется тебя»  У …
2019-07-01__13__старое_забытое_чувство_урод_приходит_не_дополнительных.md	2019-07-01	04:42	2019-07-01T04:42:26+08:00	Старое забытое чувство «я урод» приходит не от дополнительных кг, и не от «нечего надеть» и не от дредов, которые так лень куда-то укладывать, а от самого эт…
2019-07-02__14__реально_обещания_работают_села_написала_сейчас_пишу.md	2019-07-02	05:24	2019-07-02T05:24:05+08:00	Вот реально, обещания работают. Села, написала. Сейчас я пишу восьмёрку - звучит она так:  «Мы составили список всех тех людей, которым мы причинили зло, и п…
2019-07-03__15__интересная_штука_этот_ущерб_не_совсем_кажется.md	2019-07-03	06:09	2019-07-03T06:09:27+08:00	Интересная штука этот ущерб. Не совсем то, что кажется большинству. Вот человек что-то сделал, а ты ему сказал: «Блин, круто!» а на самом деле подумал «Хуйня…
